Reference,Qty Per Board,Qty For 2 Boards,Value,Footprint,LCSC Part #,Manufacturer Part #,Manufacturer,Product URL,Notes
"C1,C10",2,4,1uF,C_0402_1005Metric,C52923,CL05A105KA5NQNC,Samsung Electro-Mechanics,https://www.lcsc.com/product-detail/C52923.html,Decoupling
"C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C17",11,22,0.1uF,C_0402_1005Metric,C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,https://www.lcsc.com/product-detail/C1525.html,Decoupling
"C13,C14",2,4,10uF,C_0402_1005Metric,C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,https://www.lcsc.com/product-detail/C19702.html,Verify footprint size
"C15,C16",2,4,15pF,C_0402_1005Metric,C1548,0402CG150J500NT,FH,https://www.lcsc.com/product-detail/C1548.html,Crystal load caps
"D2",1,2,SK6812MINI-E,LED_SK6812MINI,C5149201,SK6812MINI-E,OPSCO,https://www.lcsc.com/product-detail/C5149201.html,RGB LED
"J1",1,2,USB-C,HRO_TYPE-C-31-M-12,C165948,TYPE-C-31-M-12,Korean Hroparts Elec,https://www.lcsc.com/product-detail/C165948.html,USB Connector
"R1,R2",2,4,5.1k,R_0402_1005Metric,C25905,0402WGF5101TCE,UNI-ROYAL,https://www.lcsc.com/product-detail/C25905.html,USB-C CC resistors
"R3,R5",2,4,1k,R_0402_1005Metric,C11702,0402WGF1001TCE,UNI-ROYAL,https://www.lcsc.com/product-detail/C11702.html,
"R4",1,2,10k,R_0402_1005Metric,C25744,0402WGF1002TCE,UNI-ROYAL,https://www.lcsc.com/product-detail/C25744.html,
"R6,R7",2,4,27,R_0402_1005Metric,C25100,0402WGF270JTCE,UNI-ROYAL,https://www.lcsc.com/product-detail/C25100.html,USB D+/D-
"SW1",1,2,Push Button,SW_Push_SPST_NO_Alps_SKRK,C720477,TS-1088-AR02016,XUNPU,https://www.lcsc.com/product-detail/C720477.html,BOOTSEL/RESET
"U1",1,2,RP2040,QFN-56-1EP_7x7mm,C2040,RP2040,Raspberry Pi,https://www.lcsc.com/product-detail/C2040.html,MCU
"U2",1,2,MCP1700T-3302E/TT,SOT-23,C39051,MCP1700T-3302E/TT,Microchip,https://www.lcsc.com/product-detail/C39051.html,3.3V LDO
"U3",1,2,W25Q16JVUXIQ,USON-8-1EP_3x2mm,C2843335,W25Q16JVUXIQ,Winbond,https://www.lcsc.com/product-detail/C2843335.html,SPI Flash
"Y1",1,2,12MHz,Crystal_3225,C9002,X322512MSB4SI,YXC Crystal Oscillators,https://www.lcsc.com/product-detail/C9002.html,System Clock
